Subsidiary ID,SF Account ID,Netsuite Product Code,netsuiteId,Quantity,Price,Date
17,00108000030DHjOAAW,3012,,4,0.62,01/11/2022
9,0011p00001pKCL6AAO,279,,716,0.79,01/11/2022
9,0011p00001pKCL6AAO,282,,719,0.41,01/11/2022
5,0011p00002JmbEPAAZ,281,,19,0.62,01/11/2022
5,0011p00002JmbEPAAZ,279,,18,1.49,01/11/2022
6,0011p00002kidmQAAQ,279,,32,0.7,01/11/2022
6,0011p00002kidmQAAQ,281,,32,0.38,01/11/2022
15,0010800002oNAyJAAW,282,,1241,0.28,01/11/2022
15,0010800002oNAyJAAW,279,,1241,0.35,01/11/2022
5,0010800002pdNzNAAU,279,,13,0.96,01/11/2022
5,0010800002pdNzNAAU,281,,13,0.43,01/11/2022
5,0010800002pdNzNAAU,291,,1,0.21,01/11/2022
5,0010800002qtATYAA2,281,,3,0.55,01/11/2022
5,0010800002qtATYAA2,291,,3,0.16,01/11/2022
5,0010800002qtATYAA2,279,,3,0.95,01/11/2022
5,0012400001IH3XeAAL,279,,6,1.33,01/11/2022
5,0012400001IH3XeAAL,281,,6,0.78,01/11/2022
15,001080000349PDFAA2,279,,33,0.35,01/11/2022
15,001080000349PDFAA2,281,,5,0.17,01/11/2022
5,0010800002sOWyfAAG,281,,7,0.79,01/11/2022
5,0010800002sOWyfAAG,291,,7,0.41,01/11/2022
5,0010800002sOWyfAAG,279,,7,1.66,01/11/2022
5,00108000030F5CcAAK,279,,7,1.75,01/11/2022
5,00108000030F5CcAAK,3012,,7,0.6,01/11/2022
5,00108000030F5CcAAK,3653,,8,0.5,01/11/2022
5,0010800002mpE9gAAE,282,,75,0.74,01/11/2022
5,0010800002mpE9gAAE,279,,77,1.01,01/11/2022
5,0010800002mpE9gAAE,291,,76,0.22,01/11/2022
9,0011p00001f3ATyAAM,279,,30,1.2,01/11/2022
9,0011p00001f3ATyAAM,282,,31,0.82,01/11/2022
6,0011p00002dwUtRAAU,279,,443,0.7,01/11/2022
15,0010800002qqqeVAAQ,279,,6,1.1,01/11/2022
15,0010800002qqqeVAAQ,291,,6,0.3,01/11/2022
15,0010800002qqqeVAAQ,281,,6,0.7,01/11/2022
5,0011p00002l3hLbAAI,279,,25,1.2,01/11/2022
5,0011p00002l3hLbAAI,282,,25,0.94,01/11/2022
5,0011p00002l3hLbAAI,291,,25,0.38,01/11/2022
6,0011p00002YGuNaAAL,282,,47,0.38,01/11/2022
6,0011p00002YGuNaAAL,279,,1689,0.54,01/11/2022
5,0011p000029M0oBAAS,278,294,45,3.53,01/11/2022
5,0011p000029M0oBAAS,278,1880,45,3.53,01/11/2022
5,0010800002wbsBHAAY,3653,,70,0.65,01/11/2022
6,00108000030Fg6pAAC,279,,1,1.3,01/11/2022
6,00108000030Fg6pAAC,291,,1,0.31,01/11/2022
6,00108000030Fg6pAAC,281,,1,0.75,01/11/2022
